Rechecked.By,Incident.Date,State,City.Or.County,Address,Outcome,Participant.Name,Participant.Gender,Response.Type,Detail,News.Source
Jessy,2021-08-19T00:00:00Z,New Mexico,Albuquerque,1105 Juan Tabo Blvd NE,Injured,Officer Harry Gunderson,male,Others,"AFD arrived, accessed patients, and made two transport. The rest two police are confirmed to be in much less serious condition.",https://www.krqe.com/news/albuquerque-metro/apd-two-officers-shot-injured-in-northeast-albuquerque/
Jessy,2021-08-19T00:00:00Z,New Mexico,Albuquerque,1105 Juan Tabo Blvd NE,Injured,Officer James Eichel,male,Ambulance,Around 9:55 in the video.,https://www.krqe.com/news/albuquerque-metro/apd-two-officers-shot-injured-in-northeast-albuquerque/
Jessy,2021-08-19T00:00:00Z,New Mexico,Albuquerque,1105 Juan Tabo Blvd NE,Injured,Officer Mario Verbeck,male,Ambulance,Around 9:55 in the video.,https://www.krqe.com/news/albuquerque-metro/apd-two-officers-shot-injured-in-northeast-albuquerque/
Jessy,2021-08-19T00:00:00Z,New Mexico,Albuquerque,1105 Juan Tabo Blvd NE,Injured,Sergeant Sean Kenny,male,Others,"AFD arrived, accessed patients, and made two transport. The rest two police are confirmed to be in much less serious condition.",https://www.krqe.com/news/albuquerque-metro/apd-two-officers-shot-injured-in-northeast-albuquerque/
Jessy,2019-09-18T00:00:00Z,New Mexico,Albuquerque,Tres Vistas Rd NW and Montano Plaza Dr NW,Injured,N/A,male,Unknown,AFD is present in the video but unclear how officers were transported.,https://www.krqe.com/news/albuquerque-metro/police-activity-near-coors-and-montano/
Jessy,2019-09-18T00:00:00Z,New Mexico,Albuquerque,Tres Vistas Rd NW and Montano Plaza Dr NW,Injured,N/A,male,Unknown,AFD is present in the video but unclear how officers were transported.,https://www.krqe.com/news/albuquerque-metro/police-activity-near-coors-and-montano/
Jessy,2021-02-13T00:00:00Z,New Mexico,Albuquerque,Charleston St NE and Chico Rd NE,Injured,Officer,N/A,Others,Superficial injury; not transported to the hospital,https://www.krqe.com/news/crime/apd-search-for-suspect-after-southeast-officer-involved-shooting/
Jessy,2018-07-15T00:00:00Z,New Mexico,Albuquerque,I-25,Injured,Officer Kevin Smith,male,Police Self-transfer,Page 6: Taken to the hospital by Sergeant Kurtis Ward,https://da2nd.nm.gov/wp-content/uploads/2021/10/J-Molina-Statement-of-Facts.pdf
Jessy,2021-07-14T00:00:00Z,New Mexico,Albuquerque,8616 Northeastern Blvd NE,Injured,Agent,male,Unknown,Very little information could be located.,https://kvia.com/news/new-mexico/2021/07/14/fbi-agent-wounded-suspect-killed-in-new-mexico-shootout/
Jessy,2020-12-11T00:00:00Z,New Mexico,Albuquerque,2700 block of 12th St NW,Injured,N/A,male,Unknown,,
Jessy,2023-12-30T00:00:00Z,New Mexico,Albuquerque,7817 Central Ave SE,Injured,Officer Zachary Garris,male,Unknown,Unclear how he and the suspect was transported.,https://www.kob.com/new-mexico/apd-releases-video-showing-shootout-that-injured-officer-suspect/
Jessy,2023-07-20T00:00:00Z,New Mexico,Albuquerque,557 Tramway Blvd NE,Injured,N/A,N/A,Ambulance,Witnesses said they saw an officer being loaded into an ambulance and the ambulance left the scene.,https://abqraw.com/post/update-new-details-emerge-from-deadly-police-shooting-that-left-apd-swat-officer-wounded/#google_vignette
Jessy,2023-01-18T00:00:00Z,Georgia,Atlanta,Constitution Rd and Bouldercrest Rd,Injured,Trooper,N/A,Ambulance,Medics rushed him to Grady Memorial Hospital.,https://www.fox5dc.com/news/cop-city-atlanta-georgia-state-patrol-trooper-injured-man-killed
Jessy,2022-03-02T00:00:00Z,Georgia,Atlanta,5390 Riverdale Rd,Injured,Officer Ryan Richey,male,Ambulance,"""I then immediately began to strip the vest and gear off of Ofc. Richey while having him take a seat in a patrol vehicle while awaiting on medical personnel to arrive,"" the officer said in the incident report.",https://www.fox5atlanta.com/news/man-accused-of-shooting-clayton-county-officer-armed-robbery-victim-arrested
Jessy,2021-10-25T00:00:00Z,Georgia,Atlanta,320 Luckie St,Injured,N/A,male,Ambulance,Paramedics took both him and the female victim into hospital. at 1:06,https://www.youtube.com/watch?v=i70_NHpAoQg&ab_channel=FOX5Atlanta
Jessy,2021-06-30T00:00:00Z,Georgia,Atlanta,710 Peachtree St NE,Injured,Officer Khuong Thai,male,Police Self-transfer,"In the video at the bottom of the story, the suspect was put onto an ambulance (2:09) but the injured officer can be seen carried down the street by several his fellow officers (1:46). I tend to believe this is indicative of a police transport.",https://www.wsbtv.com/news/local/suspect-killed-apartment-shooting-with-atlanta-police-idd-officer-recovering-hospital/3I4D7BDB7ZGTHJURRIYT3ZJTSI/
Jessy,2022-11-01T00:00:00Z,Georgia,Atlanta,Briarcliff Rd NE and Briarcliff Way NE,Injured,Lt. Collar,male,Ambulance,"1:15 in the video when describing him needed to be taken to hospital, video footage of ambulance transporting was shown.",https://www.11alive.com/article/news/local/chamblee/chamblee-officer-shot-family-speaks/85-b1b6a32b-cc2c-45c1-9693-4cacb48eccf6
Jessy,2022-07-27T00:00:00Z,Georgia,Atlanta,Newbury Dr,Injured,Officer Demika Lloyd,female,Ambulance,0:53 in the video. Injured officer was dispatched to the scene with paramedics as the case was a mental health case.,https://www.wsbtv.com/news/local/atlanta/woman-called-911-before-shooting-clayton-officer-being-shot-by-apd-police-say/ZP7NUO4FG5AKHOUXQSBDZHXZWA/
Jessy,2022-05-05T00:00:00Z,Georgia,Atlanta,969 Marietta St NW,Injured,Officer D’Angelo Daniel,male,Ambulance,"0:41 in the video, an ambulance rushed through streets followed by multiple police vehicles. And they said ""first responders rushed the injured officer to hospital"". So we decided to mark this as ambulance instead.",https://www.youtube.com/watch?v=TVsS3Woc2JA
Jessy,2022-02-07T00:00:00Z,Georgia,Atlanta,2637 Old Hapeville Rd SW,Injured,Officer David Rodgers,male,Ambulance,"0:42 in the video, ""as EMS rushed the officer to the hospital.""",https://www.11alive.com/article/news/crime/atlanta-police-officer-shot-six-times-details-warrants/85-0c9f0c04-aa08-4497-a5c3-04478bede8a1
Jessy,2020-11-17T00:00:00Z,Georgia,Atlanta,301 Fulton Industrial Cir SW,Injured,Officer,male,Police Self-transfer,He was rushed to Grady Memorial Hospital when Fulton County police responded about 3:30 a.m..,https://www.ajc.com/news/off-duty-cobb-officer-critically-injured-in-shooting-at-fulton-hotel/MRVZA6CRNVCHHLMLWJIBDJG2DQ/
Jessy,2020-06-25T00:00:00Z,Georgia,Atlanta,Riverbend Club Drive SE,Injured,Officer,male,Unknown,,https://gbi.georgia.gov/press-releases/2020-06-26/gbi-investigates-officer-involved-shooting-cobb-county
Jessy,2020-03-17T00:00:00Z,Georgia,Atlanta,11th St and Piedmont Ave,Injured,Officer,male,Unknown,Unclear how these two officers were transported.,https://www.gunviolencearchive.org/incident/1641184
Jessy,2020-03-17T00:00:00Z,Georgia,Atlanta,11th St and Piedmont Ave,Injured,Officer,male,Unknown,Unclear how these two officers were transported.,https://www.gunviolencearchive.org/incident/1641184
Jessy,2018-05-23T00:00:00Z,Georgia,Atlanta,180 Southside Industrial Pkwy,Injured,Officer,male,Unknown,,https://www.fox5atlanta.com/news/atlanta-police-officer-accidentally-shoots-himself
Nadia,2021-12-16T00:00:00Z,Maryland,Baltimore,4400 block of Pennington Ave,Killed,Officer Keona Holley,female,Police Self-transfer,Officers performed first aid and worked to get Officer Holley to the University of Maryland Shock Trauma as quickly as possible.,https://foxbaltimore.com/news/local/officer-shot-police-identify-officer-who-was-ambushed-in-south-baltimore
Nadia,2020-11-09T00:00:00Z,Maryland,Baltimore,3200 block of Westwood Ave,Injured,Det. Brandon Bolt,male,Ambulance,Officers offered medical assistance until an ambulance arrived. Both the injured officer and the suspect were taken to Shock Trauma.,https://foxbaltimore.com/news/city-in-crisis/reports-of-shooting-in-westbaltimore
Jessy,2020-05-26T00:00:00Z,Maryland,Baltimore,1000 block of Light St,Injured,Officer Joshua Jackson,male,Unknown,Transported to trauma center but unclear how.,https://www.facebook.com/watch/live/?ref=watch_permalink&v=545294226150416
Jessy,2020-02-12T00:00:00Z,Maryland,Baltimore,5900 block of Radecke Ave,Injured,Detective Robert Adams,N/A,Ambulance,"First video: 1:33 They said that they did not wait for any ambulances because whenever a situation involving guns occurs, many intersections may be closed off.",https://foxbaltimore.com/news/city-in-crisis/breaking-report-of-us-marshall-shot-in-northeast-baltimore
Jessy,2020-02-12T00:00:00Z,Maryland,Baltimore,5900 block of Radecke Ave,Injured,Officer First Class Swinney,N/A,Ambulance,"First video: 1:33 They said that they did not wait for any ambulances because whenever a situation involving guns occurs, many intersections may be closed off.",https://foxbaltimore.com/news/city-in-crisis/breaking-report-of-us-marshall-shot-in-northeast-baltimore
Jessy,2020-02-05T00:00:00Z,Maryland,Baltimore,Fort Armistead Rd and Fort Smallwood Rd,Injured,Detective Ian Preece,male,Police Self-transfer,"It was mentioned in this article that, ""Officers responded to assist Det. Ballard who was transported to University of Maryland Shock Trauma Center.""",https://smnewsnet.com/archives/469609/update-pasadena-man-pleads-guilty-to-first-degree-murder-and-attempted-first-degree-murder-in-shooting-of-two-anne-arundel-county-detectives/
Jessy,2020-02-05T00:00:00Z,Maryland,Baltimore,Fort Armistead Rd and Fort Smallwood Rd,Injured,Detective Scott Ballard,male,Police Self-transfer,"It was mentioned in this article that, ""Officers responded to assist Det. Ballard who was transported to University of Maryland Shock Trauma Center.""",https://smnewsnet.com/archives/469609/update-pasadena-man-pleads-guilty-to-first-degree-murder-and-attempted-first-degree-murder-in-shooting-of-two-anne-arundel-county-detectives/
Jessy,2019-08-28T00:00:00Z,Maryland,Baltimore,N Caroline St and E Fayette St,Injured,N/A,male,Ambulance,"Third video at around 1:03 they mentioned that the passed an ambulance likely on the way to shock trauma and, a little later, they mentioned medics were at the scene.",https://foxbaltimore.com/news/local/reports-officer-shot-in-east-baltimore
Jessy,2019-08-08T00:00:00Z,Maryland,Baltimore,5600 block of Summerfield Ave,Injured,Sgt. Isaac Carrington,male,Ambulance,"Video at timestamp 0:29, they mentioned the ambulance just arrived at the hospital. This ambulance was believed to transport the police officer",https://wwmt.com/news/nation-world/breaking-officer-shot-in-ne-baltimore
Jessy,2019-07-15T00:00:00Z,Maryland,Baltimore,2117 Maryland Ave,Injured,Sgt. Billy Shiflett,male,Ambulance,"2:08 in the video, the sergent said, ""I even told the medics. I said, 'let's get to trauma.'""",https://www.youtube.com/watch?v=pVcr71s7wUg
Jessy,2022-09-30T00:00:00Z,Maryland,Baltimore,1109 E Chase St,Injured,N/A,N/A,Police Self-transfer,"~1:05, commissioner said another police officer drove the injured officer to the hospital.",https://www.facebook.com/BaltimoreCityPolice/videos/637806134658475
Jessy,2021-07-13T00:00:00Z,Maryland,Baltimore,6901 Security Blvd,Injured,Officer,N/A,Unknown,The Shock Trauma Center was informed two officers were being transported there but unclear whether it was through the ambulance system.,https://www.baltimorecountymd.gov/departments/police/news/2021/07/13/two-baltimore-city-warrant-apprehension-task-force-officers-shot-suspect-deceased
Jessy,2021-07-13T00:00:00Z,Maryland,Baltimore,6901 Security Blvd,Injured,Officer,N/A,Unknown,The Shock Trauma Center was informed two officers were being transported there but unclear whether it was through the ambulance system.,https://www.baltimorecountymd.gov/departments/police/news/2021/07/13/two-baltimore-city-warrant-apprehension-task-force-officers-shot-suspect-deceased
Jessy,2021-02-04T00:00:00Z,Maryland,Baltimore,1500 block of N Mount St,Injured,Deputy Marshal,male,Police Self-transfer,"1:36 in the second video. ""The task force member evacuated him out from the scene ...... to the trauma center.""",https://www.wbaltv.com/article/officer-involved-shooting-on-n-mount-street-bpd-says/35416733#
Jessy,2018-09-23T00:00:00Z,Maryland,Baltimore,800 block of Vine St,Injured,Officer Phillip Lippe,male,Ambulance,"Officer Lippe stating, ""'I'm good. Let the medic get here,' Lippe tells Foster.""",https://www.thebluemagazine.com/signal-13-with-a-heroic-ending
Jessy,2020-06-14T00:00:00Z,Maryland,Baltimore,2300 block of Winchester St,Injured,Officer Brian Burke,male,Unknown,,
Jessy,2023-03-22T00:00:00Z,Alabama,Birmingham,3125 Bradford Pl,Injured,Albert Morin,N/A,Ambulance,Transported to Huntsville Hospital with life-threatening-injuries; Crumby died later. ~0:14 of the video shows an ambulance leaving the scene. The ambulance was escorted by two police vehicles and the time does not match with when the suspect was detained.,https://abcnews.go.com/US/alabama-police-officers-shot-huntsville/story?id=98193357
Jessy,2023-03-22T00:00:00Z,Alabama,Birmingham,3125 Bradford Pl,Killed,Garrett Crumby,N/A,Ambulance,Transported to Huntsville Hospital with life-threatening-injuries; Crumby died later. ~0:14 of the video shows an ambulance leaving the scene. The ambulance was escorted by two police vehicles and the time does not match with when the suspect was detained.,https://abcnews.go.com/US/alabama-police-officers-shot-huntsville/story?id=98193357
Jessy,2020-03-11T00:00:00Z,Alabama,Birmingham,1200 block of Tuscaloosa Ave,Injured,Officer Anthony Wheeler,male,Ambulance,"""The officer was transported to UAB Hospital. Birmingham Fire and Rescue [BFR] say an injured civilian was also taken to the hospital."" This suggests that the BFR also attended to the officer.",https://www.yourerie.com/news/national-news/alabama-officer-injured-in-shooting-in-birmingham-heavy-police-presence-at-scene/
Jessy,2021-11-13T00:00:00Z,Alabama,Birmingham,416 24th St S,Injured,Officer Darius Gamble,male,Unknown,,https://www.facebook.com/bhampolice/posts/the-birmingham-police-department-reports-a-birmingham-police-officer-was-shot-wh/10159449973737068/
Jessy,2021-05-16T00:00:00Z,Alabama,Birmingham,1010 18th St S,Injured,Officer,N/A,Police Self-transfer,"The officers were transported to UAB hospital by co-workers, according to Birmingham Fire and Rescue Service.",https://www.al.com/news/2021/05/2-birmingham-police-officers-shot-near-uab-suspect-dead.html
Jessy,2021-05-16T00:00:00Z,Alabama,Birmingham,1010 18th St S,Injured,Officer,N/A,Police Self-transfer,"The officers were transported to UAB hospital by co-workers, according to Birmingham Fire and Rescue Service.",https://www.al.com/news/2021/05/2-birmingham-police-officers-shot-near-uab-suspect-dead.html
Jessy,2021-05-16T00:00:00Z,Alabama,Birmingham,1010 18th St S,Injured,Officer Jacob Rouse,male,Police Self-transfer,"The officers were transported to UAB hospital by co-workers, according to Birmingham Fire and Rescue Service.",https://www.al.com/news/2021/05/2-birmingham-police-officers-shot-near-uab-suspect-dead.html
Jessy,2021-05-16T00:00:00Z,Alabama,Birmingham,1010 18th St S,Injured,Officer Jeremy Dorr,male,Police Self-transfer,"The officers were transported to UAB hospital by co-workers, according to Birmingham Fire and Rescue Service.",https://www.al.com/news/2021/05/2-birmingham-police-officers-shot-near-uab-suspect-dead.html
Jessy,2020-04-24T00:00:00Z,Alabama,Birmingham,4012 24th St N,Injured,Det. Mikiel Smith,male,Police Self-transfer,"""Police blocked off roads as they escorted the officer to UAB Hospital.""",https://www.al.com/news/2020/04/birmingham-police-officer-suspect-injured-in-shooting.html
Jessy,2019-07-17T00:00:00Z,Alabama,Birmingham,25th St and 5th Ave N,Injured,Officer Cullen Stafford,male,Police Self-transfer,Stafford’s fellow officers then loaded him into a police cruiser and rushed him to UAB Hospital’s Trauma Center.,https://www.al.com/news/birmingham/2019/07/man-killed-in-shootout-that-injured-cullen-stafford-had-history-of-threatening-police.html
Jessy,2019-01-13T00:00:00Z,Alabama,Birmingham,700 block of 5th Ave N,Injured,Officer Lucas Allums,male,Ambulance,"""...to Birmingham Fire and Rescue for their quick response, treatment, and transport""",https://www.birminghamal.gov/2019/01/24/officer-lucas-allums-injured-in-jan-13-shooting-that-killed-sgt-wytasha-carter-released-from-hospital/
Jessy,2019-01-13T00:00:00Z,Alabama,Birmingham,700 block of 5th Ave N,Killed,Sgt. Wytasha Carter,male,Ambulance,"""...to Birmingham Fire and Rescue for their quick response, treatment, and transport""",https://www.birminghamal.gov/2019/01/24/officer-lucas-allums-injured-in-jan-13-shooting-that-killed-sgt-wytasha-carter-released-from-hospital/
Jessy,2020-01-26T00:00:00Z,Alabama,Birmingham,5400 block of Georgia Rd,Injured,Detective John Finke,male,Ambulance,"""He was rushed to UAB Hospital’s Trauma Center by Birmingham Fire and Rescue Service via police escort.""","https://www.al.com/news/2020/01/birmingham-police-officer-shot-in-woodlawn.html#:~:text=A%20Birmingham%20police%20officer%20working,hit%20twice%20in%20the%20abdomen"
Nadia,2022-01-19T00:00:00Z,New York,Bronx,2356 Lorillard Pl,Injured,Ofc. Kaseem Pennant,male,Police Self-transfer,"""Officers rushed both Pennant and the teen to the hospital in their vehicles.""",https://abc7ny.com/nypd-cop-shot-bronx-today-police-involved-shooting-officer/11486734/
Nadia,2021-11-24T00:00:00Z,New York,Bronx,E 187th St and Beaumont Ave,Injured,Officer Alejandra Jacobs,female,Ambulance,"""EMS rushed both officers to St. Barnabas Hospital""",https://www.amny.com/new-york/bronx/two-cops-shot-in-the-bronx-suspect-being-questioned-reports/
Nadia,2021-11-24T00:00:00Z,New York,Bronx,E 187th St and Beaumont Ave,Injured,Officer Robert Holmes,male,Ambulance,"""EMS rushed both officers to St. Barnabas Hospital""",https://www.amny.com/new-york/bronx/two-cops-shot-in-the-bronx-suspect-being-questioned-reports/
Nadia,2023-12-27T00:00:00Z,New York,Bronx,1161 E 225th St,Injured,N/A,male,Ambulance,"""Medics rushed the officer to Jacobi Medical Center""",https://www.nydailynews.com/2023/12/28/nypd-cop-accidentally-shoots-himself-in-leg-patrolling-nycha-building/
