GEO,Ambulance_prop,Others_prop,Unknown_prop,Police Self-transfer_prop
"Albuquerque, NM",0.6,0.1,0.3,
"Atlanta, GA",0.3077,,,0.6923
"Baltimore, MD",0.5882,,0.1176,0.2941
"Birmingham, AL",0.2308,,0.0769,0.6923
"Chicago, IL",0.25,0.0208,0.1042,0.625
"Columbus, OH",0.6154,,0.1538,0.2308
"Dallas, TX",0.4,,0.4,0.2
"Denver, CO",0.5,,0.2,0.3
"Detroit, MI",0.2727,,0.1818,0.5455
"Houston, TX",0.55,0.125,0.3,0.025
"Indianapolis, IN",0.4,,0.2,0.4
"Kansas City, MO",0.4286,,0.1429,0.4286
"Las Vegas, NV",0.2667,0.0667,0.2667,0.4
"Los Angeles, CA",0.5294,0.0588,0.0588,0.3529
"Louisville, KY",0.5,,0.0833,0.4167
"Memphis, TN",0.6,,0.2,0.2
"Milwaukee, WI",0.5625,,0.3125,0.125
"NYC, NY",0.3256,,0.093,0.5814
"New Orleans, LA",0.8333,,,0.1667
"Philadelphia, PA",0.0312,,0.125,0.8438
"Phoenix, AZ",0.6071,,0.2143,0.1786
"Saint Louis, MO",0.0455,0.0455,0.4545,0.4545
"San Antonio, TX",0.3333,,0.1111,0.5556
"Washington, DC",0.2857,0.2143,0.3571,0.1429
